Code,Sector,Typology,Record_Class,A,B,C,D,E,F,G,I,J,K,L,M,N,O,Q,R,S,T,V,X,Z
DW-S01-EA21,DW - Sector 1,EA-TER Ledge Terrace,Built funerary structure,0.0,2.0,0.0,0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
DW-S01-EA22,DW - Sector 1,EA-MAU Mausoleum/Chullpa,Built funerary structure,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0
DW-S01-EA71,DW - Sector 1,EA-TER Ledge Terrace,Built funerary structure,0.0,2.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
DW-S01-EA36,DW - Sector 1,EA-MAU Mausoleum/Chullpa,Built funerary structure,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0.0,0.0,1.0,0.0,0.0
DW-S01-EA38,DW - Sector 1,EA-PLA-V Aerial Platform,Built funerary structure,0.0,0.0,0.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,3.0
DW-S01-EA39,DW - Sector 1,EA-PLA-V Aerial Platform,Built funerary structure,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0
DW-S01-EA40,DW - Sector 1,EA-MAU Mausoleum/Chullpa,Built funerary structure,0.0,1.0,0.0,1,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0,,,1.0,2.0,3.0
DW-S01-EA72,DW - Sector 1,Unclassifiable,Built funerary structure,0.0,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0
DW-S01-EA41,DW - Sector 1,EA-MAU Mausoleum/Chullpa,Built funerary structure,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0.0,2.0,0.0,0.0,0.0
DW-S01-EA47,DW - Sector 1,CAV Cave/Cavern,Natural funerary context,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
DW-S02-EA01,DW - Sector 2,EA-CAM Funerary Chamber,Built funerary structure,0.0,2.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0,0.0,0.0,1.0,,0.0
