Code,Wall,Body,Instance,Area_Cons_m2,N_Fragments,Width_Cons_m,Height_Cons_m,Area_Complete_m2,Area_Restituted_m2,LL_m,LL_Source,HH_m,HH_Source,DD_m,DD_Source,Area_Orig_m2,Orig_Source,Volume_Prism_m3,Index_Conserv_pct,QC_Notes
DW-S01-EA01,f,0.1,,1.115,1,1.318,2.027,1.115,,,,,,,,1.115,poligon-c,,100.0,
DW-S01-EA01,f,1.1,,2.449,1,1.900,1.426,2.449,,,,,,,,2.449,poligon-c,,100.0,
DW-S01-EA02,f,0.1,,0.923,1,2.367,0.544,0.923,,,,,,,,0.923,poligon-c,,100.0,
DW-S01-EA02,f,1.1,,3.240,1,2.682,1.474,3.240,,,,,,,,3.240,poligon-c,,100.0,
DW-S01-EA02,f,1.2,,1.888,1,2.384,1.406,1.888,,,,,,,,1.888,poligon-c,,100.0,
DW-S01-EA04,f,1.1,,,,,,,2.427,,,,,,,2.427,poligon-r,,,
DW-S01-EA04,f,1.1,a,0.835,1,0.958,1.198,,,,,,,,,,,,,
DW-S01-EA04,f,1.1,b,0.540,1,0.638,1.114,,,,,,,,,,,,,
DW-S01-EA04,f,1.2,,0.298,1,1.132,0.749,,,,,,,,,,,,,
DW-S01-EA04,l,1.1,,0.811,1,1.424,1.211,0.811,,,,,,,,0.811,poligon-c,,100.0,
DW-S01-EA04,l,1.2,,0.677,1,1.415,0.731,,,,,,,,,,,,,
DW-S01-EA04,r,1.1,,1.243,1,1.229,1.211,1.243,,,,,,,,1.243,poligon-c,,100.0,
DW-S01-EA04,r,1.2,,0.285,1,1.089,0.670,,,,,,,,,,,,,
DW-S01-EA06,f,0.1,,0.716,1,1.376,0.700,0.716,,,,,,,,0.716,poligon-c,,100.0,
DW-S01-EA06,f,1.1,,1.268,1,1.446,1.060,1.268,,,,,,,,1.268,poligon-c,,100.0,
DW-S01-EA06,l,0.1,,0.242,1,0.558,0.698,0.242,,,,,,,,0.242,poligon-c,,100.0,
DW-S01-EA06,l,1.1,,0.461,1,0.625,1.073,0.461,,,,,,,,0.461,poligon-c,,100.0,
DW-S01-EA07,f,0.1,a,1.043,1,1.158,1.192,1.043,,,,,,,,1.043,poligon-c,,100.0,
