"Code","Sector","Tipologia","Familia","Riquesa"
"DW-S01-EA01","DW-S01","EA-CAM Funerary Chamber",2,15
"DW-S01-EA02","DW-S01","EA-CAM Funerary Chamber",2,6
"DW-S01-EA03","DW-S01","EA-CAM Funerary Chamber",2,7
"DW-S01-EA04","DW-S01","EA-CAM Funerary Chamber",2,6
"DW-S01-EA05","DW-S01","Unclassifiable",1,0
"DW-S01-EA06","DW-S01","EA-CAM Funerary Chamber",2,11
"DW-S01-EA07","DW-S01","EA-TER Ledge Terrace",2,9
"DW-S01-EA08","DW-S01","EA-TER Ledge Terrace",1,4
"DW-S01-EA12","DW-S01","EA-MAU Mausoleum/Chullpa",2,7
"DW-S01-EA13","DW-S01","EA-CAM Funerary Chamber",2,2
"DW-S01-EA14","DW-S01","EA-TER Ledge Terrace",1,3
"DW-S01-EA15","DW-S01","EA-CAM Funerary Chamber",2,6
"DW-S01-EA16","DW-S01","NIX Natural Niche",1,1
"DW-S01-EA17","DW-S01","EA-CAM Funerary Chamber",2,12
"DW-S01-EA18","DW-S01","EA-CAM Funerary Chamber",2,10
"DW-S01-EA20","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA21","DW-S01","EA-TER Ledge Terrace",1,2
"DW-S01-EA22","DW-S01","EA-MAU Mausoleum/Chullpa",2,5
"DW-S01-EA23","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA24","DW-S01","EA-TER Ledge Terrace",1,1
"DW-S01-EA25","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA26","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA27","DW-S01","EA-PLA-V Aerial Platform",3,3
"DW-S01-EA28","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA29","DW-S01","EA-TER Ledge Terrace",1,1
"DW-S01-EA30","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA31","DW-S01","EA-TER Ledge Terrace",1,1
"DW-S01-EA34","DW-S01","NIX Natural Niche",3,3
"DW-S01-EA36","DW-S01","EA-MAU Mausoleum/Chullpa",2,6
"DW-S01-EA38","DW-S01","EA-PLA-V Aerial Platform",3,4
"DW-S01-EA39","DW-S01","EA-PLA-V Aerial Platform",3,3
"DW-S01-EA40","DW-S01","EA-MAU Mausoleum/Chullpa",2,13
"DW-S01-EA41","DW-S01","EA-MAU Mausoleum/Chullpa",2,9
"DW-S01-EA42","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA43","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA44","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA45","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA46","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA47","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA48","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA49","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA50","DW-S01","EA-MAU Mausoleum/Chullpa",2,6
"DW-S01-EA51","DW-S01","EA-TER Ledge Terrace",1,2
"DW-S01-EA52","DW-S01","NIX Natural Niche",1,2
"DW-S01-EA53","DW-S01","EA-TER Ledge Terrace",1,2
"DW-S01-EA54","DW-S01","EA-TER Ledge Terrace",1,1
"DW-S01-EA56","DW-S01","EA-TER Ledge Terrace",1,1
"DW-S01-EA57","DW-S01","EA-TER Ledge Terrace",1,2
"DW-S01-EA58","DW-S01","EA-TER Ledge Terrace",1,2
"DW-S01-EA59","DW-S01","EA-TER Ledge Terrace",5,2
"DW-S01-EA62","DW-S01","EA-MAU Mausoleum/Chullpa",2,1
"DW-S01-EA71","DW-S01","EA-TER Ledge Terrace",1,1
"DW-S01-EA72","DW-S01","Unclassifiable",3,6
"DW-S01-EA73","DW-S01","Unclassifiable",4,0
"DW-S01-EA74","DW-S01","EA-CAM Funerary Chamber",2,3
"DW-S01-EA75","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA76","DW-S01","CAV Cave/Cavern",4,0
"DW-S01-EA77","DW-S01","Unclassifiable",4,0
"DW-S01-EA78","DW-S01","NIX Natural Niche",4,0
"DW-S01-EA79","DW-S01","NIX Natural Niche",4,0
"DW-S02-EA01","DW-S02","EA-CAM Funerary Chamber",2,7
"DW-S02-EA02","DW-S02","EA-CAM Funerary Chamber",2,6
"DW-S02-EA03","DW-S02","Unclassifiable",1,1
"DW-S02-EA04","DW-S02","EA-MAU Mausoleum/Chullpa",1,2
"DW-S02-EA06","DW-S02","CAV Cave/Cavern",4,0
"DW-S03-EA01","DW-S03","EA-MAU Mausoleum/Chullpa",2,6
"DW-S03-EA02","DW-S03","NIX Natural Niche",4,0
"DW-S03-EA03","DW-S03","CAV Cave/Cavern",5,1
"DW-S03-EA04","DW-S03","CAV Cave/Cavern",4,0
"DW-S04-EA01","DW-S04","EA-TER Ledge Terrace",1,4
"DW-S04-EA02","DW-S04","EA-TER Ledge Terrace",1,3
"DW-S04-EA03","DW-S04","EA-MAU Mausoleum/Chullpa",2,11
"DW-S04-EA04","DW-S04","EA-CAM Funerary Chamber",2,9
"DW-S04-EA05","DW-S04","EA-CAM Funerary Chamber",2,7
"DW-S04-EA06","DW-S04","CAV Cave/Cavern",4,0
"DW-S04-EA07","DW-S04","NIX Natural Niche",4,0
"DW-S04-EA08","DW-S04","EA-TER Ledge Terrace",1,2
"DW-S04-EA09","DW-S04","EA-MAU Mausoleum/Chullpa",2,10
"DW-S04-EA10","DW-S04","NIX Natural Niche",1,1
"DW-S04-EA11","DW-S04","NIX Natural Niche",4,0
"DW-S04-EA12","DW-S04","EA-MAU Mausoleum/Chullpa",2,6
"DW-S04-EA13","DW-S04","Unclassifiable",4,0
"DW-S04-EA14","DW-S04","EA-MAU Mausoleum/Chullpa",2,5
"DW-S04-EA15","DW-S04","EA-MAU Mausoleum/Chullpa",2,4
"DW-S04-EA17","DW-S04","NIX Natural Niche",4,0
"DW-S04-EA18","DW-S04","EA-MAU Mausoleum/Chullpa",2,8
"DW-S04-EA19","DW-S04","NIX Natural Niche",4,0
"DW-S05-EA01","DW-S05","EA-MAU Mausoleum/Chullpa",2,4
"DW-S05-EA02","DW-S05","CAV Cave/Cavern",4,0
"DW-S06-EA02","DW-S06","EA-MAU Mausoleum/Chullpa",2,9
"DW-S06-EA03","DW-S06","Unclassifiable",2,1
