"Code","Component"
"DW-S01-EA21",1
"DW-S01-EA22",2
"DW-S01-EA71",2
"DW-S01-EA36",3
"DW-S01-EA38",4
"DW-S01-EA39",4
"DW-S01-EA40",4
"DW-S01-EA72",4
"DW-S01-EA41",4
"DW-S01-EA47",2
"DW-S02-EA01",5
"DW-S03-EA04",6
"DW-S04-EA01",7
"DW-S04-EA02",7
"DW-S04-EA21",7
"DW-S04-EA03",7
"DW-S04-EA04",7
"DW-S04-EA05",7
"DW-S04-EA09",7
"DW-S04-EA12",7
"DW-S04-EA20",7
"DW-S04-EA15",7
"DW-S04-EA18",7
"DW-S04-EA14",7
"DW-S04-EA08",7
"DW-S04-EA10",7
"DW-S04-EA06",7
"DW-S01-EA34",3
"DW-S01-EA35",3
"DW-S01-EA37",8
"DW-S01-EA33",3
"DW-S01-EA31",3
"DW-S01-EA32",3
"DW-S01-EA30",3
"DW-S01-EA29",3
"DW-S01-EA01",9
"DW-S01-EA02",2
"DW-S01-EA06",10
"DW-S01-EA08",10
"DW-S01-EA07",10
"DW-S01-EA09",11
"DW-S01-EA10",11
"DW-S01-EA11",12
"DW-S01-EA12",13
"DW-S01-EA15",2
"DW-S01-EA17",2
"DW-S01-EA18",2
"DW-S01-EA28",3
"DW-S01-EA27",14
"DW-S01-EA13",2
"DW-S01-EA14",2
"DW-S01-EA51",2
"DW-S01-EA59",2
"DW-S01-EA52",2
"DW-S01-EA23",2
"DW-S01-EA24",10
"DW-S01-EA49",2
"DW-S01-EA73",2
"DW-S04-EA07",7
"DW-S04-EA11",7
"DW-S04-EA17",7
"DW-S04-EA13",15
"DW-S01-EA74",3
"DW-S01-EA75",2
"DW-S01-EA76",16
"DW-S05-EA02",17
"DW-S06-EA04",18
"DW-S01-EA77",2
"DW-S01-EA78",3
"DW-S01-EA79",10
"DW-S01-EA53",3
"DW-S01-EA54",3
"DW-S01-EA55",3
"DW-S01-EA56",3
"DW-S01-EA57",3
"DW-S01-EA58",3
"DW-S01-EA60",4
"DW-S01-EA61",3
"DW-S01-EA62",10
"DW-S01-EA50",19
"DW-S04-EA19",7
"DW-S03-EA01",20
"DW-S03-EA02",20
"DW-S01-EA19",2
"DW-S01-EA48",2
"DW-S01-EA03",2
"DW-S01-EA04",2
"DW-S01-EA05",2
"DW-S01-EA44",2
"DW-S01-EA45",2
"DW-S01-EA46",2
"DW-S06-EA01",21
"DW-S06-EA02",22
"DW-S06-EA03",23
"DW-S05-EA01",24
"DW-S03-EA03",25
"DW-S02-EA02",5
"DW-S02-EA03",26
"DW-S02-EA04",5
"DW-S02-EA06",5
"DW-S01-EA16",2
"DW-S01-EA20",2
"DW-S01-EA25",27
"DW-S01-EA26",28
"DW-S01-EA42",29
"DW-S01-EA43",30
