"","B","C","D","E","F","G","I","J","K","L","M","N","O","Q","R","S","T","V","X","Z"
"B",1,0.118,0.091,0.273,0.093,0.04,0.558,0.077,0.173,0.519,0.333,0.216,0.447,0.421,0.294,0.041,0.184,0.308,0.186,0.091
"C",0.118,1,0.077,0.2,0.182,0.143,0.094,0,0.143,0.094,0.143,0.083,0.1,0.105,0.235,0.167,0.273,0.045,0.083,0.077
"D",0.091,0.077,1,0.182,0.154,0,0.056,0,0.059,0.056,0.083,0.077,0.095,0.048,0.095,0,0.071,0.042,0.067,0.231
"E",0.273,0.2,0.182,1,0.316,0.118,0.171,0,0.12,0.143,0.161,0.143,0.138,0.231,0.269,0.125,0.25,0.094,0.15,0.368
"F",0.093,0.182,0.154,0.316,1,0.333,0.088,0,0.062,0.057,0.087,0,0.091,0.095,0.1,0.333,0.25,0.043,0.077,0.667
"G",0.04,0.143,0,0.118,0.333,1,0.067,0,0.091,0.032,0.053,0,0.056,0.059,0.133,1,0.222,0,0,0.286
"I",0.558,0.094,0.056,0.171,0.088,0.067,1,0.167,0.333,0.903,0.621,0.308,0.63,0.593,0.222,0.074,0.286,0.567,0.364,0.118
"J",0.077,0,0,0,0,0,0.167,1,0.25,0.167,0.211,0.2,0.167,0.111,0,0,0,0.294,0.1,0
"K",0.173,0.143,0.059,0.12,0.062,0.091,0.333,0.25,1,0.333,0.273,0.308,0.3,0.25,0.143,0.111,0.308,0.35,0.25,0.125
"L",0.519,0.094,0.056,0.143,0.057,0.032,0.903,0.167,0.333,1,0.621,0.32,0.654,0.615,0.189,0.037,0.25,0.567,0.364,0.086
"M",0.333,0.143,0.083,0.161,0.087,0.053,0.621,0.211,0.273,0.621,1,0.412,0.65,0.684,0.179,0.062,0.263,0.36,0.4,0.13
"N",0.216,0.083,0.077,0.143,0,0,0.308,0.2,0.308,0.32,0.412,1,0.389,0.533,0.2,0,0.5,0.222,0.5,0.067
"O",0.447,0.1,0.095,0.138,0.091,0.056,0.63,0.167,0.3,0.654,0.65,0.389,1,0.65,0.227,0.059,0.25,0.409,0.5,0.136
"Q",0.421,0.105,0.048,0.231,0.095,0.059,0.593,0.111,0.25,0.615,0.684,0.533,0.65,1,0.286,0.062,0.412,0.304,0.583,0.143
"R",0.294,0.235,0.095,0.269,0.1,0.133,0.222,0,0.143,0.189,0.179,0.2,0.227,0.286,1,0.133,0.333,0.069,0.111,0.095
"S",0.041,0.167,0,0.125,0.333,1,0.074,0,0.111,0.037,0.062,0,0.059,0.062,0.133,1,0.222,0,0,0.333
"T",0.184,0.273,0.071,0.25,0.25,0.222,0.286,0,0.308,0.25,0.263,0.5,0.25,0.412,0.333,0.222,1,0.045,0.3,0.154
"V",0.308,0.045,0.042,0.094,0.043,0,0.567,0.294,0.35,0.567,0.36,0.222,0.409,0.304,0.069,0,0.045,1,0.294,0.087
"X",0.186,0.083,0.067,0.15,0.077,0,0.364,0.1,0.25,0.364,0.4,0.5,0.5,0.583,0.111,0,0.3,0.294,1,0.154
"Z",0.091,0.077,0.231,0.368,0.667,0.286,0.118,0,0.125,0.086,0.13,0.067,0.136,0.143,0.095,0.333,0.154,0.087,0.154,1
