"Code","Grau","Tipologia"
"DW-S01-EA02",5,"EA-CAM Funerary Chamber"
"DW-S01-EA33",5,"MEN Isolated Structural Element"
"DW-S01-EA22",4,"EA-MAU Mausoleum/Chullpa"
"DW-S01-EA55",4,"MEN Isolated Structural Element"
"DW-S04-EA11",4,"NIX Natural Niche"
"DW-S01-EA04",3,"EA-CAM Funerary Chamber"
"DW-S01-EA17",3,"EA-CAM Funerary Chamber"
"DW-S01-EA31",3,"EA-TER Ledge Terrace"
"DW-S01-EA29",3,"EA-TER Ledge Terrace"
"DW-S01-EA34",3,"NIX Natural Niche"
"DW-S01-EA39",3,"EA-PLA-V Aerial Platform"
"DW-S04-EA02",3,"EA-TER Ledge Terrace"
"DW-S04-EA03",3,"EA-MAU Mausoleum/Chullpa"
"DW-S04-EA12",3,"EA-MAU Mausoleum/Chullpa"
"DW-S04-EA20",3,"EA-PLA-V Aerial Platform"
"DW-S01-EA08",3,"EA-TER Ledge Terrace"
"DW-S01-EA07",3,"EA-TER Ledge Terrace"
"DW-S01-EA77",2,"Unclassifiable"
"DW-S01-EA71",2,"EA-TER Ledge Terrace"
"DW-S01-EA58",2,"EA-TER Ledge Terrace"
"DW-S01-EA57",2,"EA-TER Ledge Terrace"
"DW-S01-EA54",2,"EA-TER Ledge Terrace"
"DW-S01-EA35",2,"Unclassifiable"
"DW-S01-EA36",2,"EA-MAU Mausoleum/Chullpa"
"DW-S01-EA40",2,"EA-MAU Mausoleum/Chullpa"
"DW-S01-EA72",2,"Unclassifiable"
"DW-S02-EA04",2,"EA-MAU Mausoleum/Chullpa"
"DW-S02-EA01",2,"EA-CAM Funerary Chamber"
"DW-S04-EA05",2,"EA-CAM Funerary Chamber"
"DW-S04-EA04",2,"EA-CAM Funerary Chamber"
"DW-S04-EA09",2,"EA-MAU Mausoleum/Chullpa"
"DW-S04-EA14",2,"EA-MAU Mausoleum/Chullpa"
"DW-S04-EA08",2,"EA-TER Ledge Terrace"
"DW-S04-EA07",2,"NIX Natural Niche"
"DW-S01-EA06",2,"EA-CAM Funerary Chamber"
