Code,Chunk_Label,Frame_Mode,N_Shapes,N_Valid,N_Invalid,N_Legacy2D,N_QC_Flags,Vert_Cons_m2,F_Cons_m2,T_Int_m2,Notes
DW-S01-EA01,DW-S01-EA01,intern,12,12,0,0,0,3.565,3.565,2.671,
DW-S01-EA02,DW-S01-EA02,intern,10,10,0,0,0,6.051,6.051,,
DW-S01-EA04,DW-S01-EA04,geografic,9,9,0,0,0,4.688,1.672,2.901,
DW-S01-EA06,DW-S01-EA06,geografic,16,16,0,0,0,2.687,1.983,1.153,
DW-S01-EA07,DW-S01-EA07,geografic,5,5,0,0,0,1.820,1.820,,
DW-S01-EA12,DW-S01-EA12,geografic,16,16,0,0,0,6.312,4.011,3.036,
DW-S01-EA15,DW-S01-EA15,geografic,7,7,0,0,0,1.829,1.829,3.738,
DW-S01-EA16,DW-S01-EA16,geografic,3,3,0,0,0,0.116,0.116,,
DW-S01-EA17,DW-S01-EA17,geografic,12,12,0,0,0,4.024,4.024,6.620,
DW-S01-EA62,DW-S01-EA62,geografic,3,3,0,0,0,0.242,0.242,,
DW-S01-EA71,DW-S01-EA71,geografic,2,2,0,0,0,0.666,0.666,1.016,
DW-S01-EA18,DW-S01-EA18,geografic,9,9,0,0,0,1.041,1.041,,
DW-S01-EA19,DW-S01-EA19,geografic,2,2,0,0,0,,,,
DW-S01-EA35,DW-S01-EA35,geografic,6,6,0,0,0,2.890,2.254,,
DW-S01-EA40,DW-S01-EA40,mon-local,17,17,0,0,0,6.716,5.112,1.922,
DW-S01-EA72,DW-S01-EA72,geografic,10,10,0,0,0,2.356,2.356,1.581,
DW-S01-EA50,DW-S01-EA50,geografic,8,8,0,0,0,2.745,1.441,,
DW-S03-EA01,DW-S03-EA01,geografic,4,4,0,0,2,1.688,1.432,,
DW-S03-EA03,DW-S03-EA03,geografic,2,2,0,0,0,,,,
DW-S04-EA01,DW-S04-EA01,geografic,4,4,0,0,0,2.268,2.268,,
DW-S04-EA03,DW-S04-EA03,geografic,11,11,0,0,0,3.241,2.382,,
DW-S04-EA04,DW-S04-EA04,geografic,7,7,0,0,0,1.555,1.555,0.707,
DW-S04-EA05,DW-S04-EA05,geografic,7,7,0,0,0,1.287,1.287,,
DW-S04-EA09,DW-S04-EA09,geografic,17,17,0,0,0,4.683,3.281,0.947,
DW-S04-EA12,DW-S04-EA12,geografic,7,7,0,0,0,2.327,1.684,0.426,
DW-S04-EA14,DW-S04-EA14,geografic,7,7,0,0,0,3.064,2.297,,
DW-S04-EA15,DW-S04-EA15,geografic,7,7,0,0,0,2.386,1.893,1.211,
DW-S04-EA18,DW-S04-EA18,geografic,11,11,0,0,0,3.104,2.531,,
DW-S04-EA19,DW-S04-EA19,geografic,2,2,0,0,0,,,,
DW-S04-EA20,DW-S04-EA20,geografic,9,9,0,0,0,,,,
DW-S05-EA01,DW-S05-EA01,geografic,3,3,0,0,1,1.848,1.688,,
