Code,Plane,Port,Body,Status,Area_Cons_m2,Area_Orig_m2,Ratio_vs_Body_Cons_pct,Ratio_vs_Body_Orig_pct
DW-S01-EA01,f,1.1,1.1,cons,0.347,,14.2,
DW-S01-EA02,f,1.1,1.1,-c,0.313,0.313,9.7,9.7
DW-S01-EA02,f,1.2,1.2,-c,0.270,0.270,14.3,14.3
DW-S01-EA02,r,1.1,1.1,-c,0.154,0.154,,
DW-S01-EA02,r,1.2,1.2,-c,0.114,0.114,,
DW-S01-EA06,f,1.1,1.1,-c,0.273,0.273,21.5,21.5
DW-S01-EA15,f,1.1,1.1,-c,0.510,0.510,35.2,24.9
DW-S01-EA15,l,1.1,1.1,-c,0.112,0.112,,
DW-S01-EA17,f,1.1,1.1,-c,0.310,0.310,13.2,13.2
DW-S01-EA17,l,1.1,1.1,-c,0.111,0.111,,
DW-S01-EA17,t,1.1,1.1,-c,0.093,0.093,,
DW-S01-EA18,f,1.1,1.1,-c,0.223,0.223,26.7,18.8
DW-S01-EA18,l,1.1,1.1,-c,0.080,0.080,,
DW-S01-EA35,f,1.1,1.1,-c,0.222,0.222,20.3,
DW-S01-EA35,r,1.1,1.1,-c,0.112,0.112,,
DW-S01-EA40,f,1.1,1.1,-c,0.321,0.321,12.1,
DW-S04-EA03,f,1.1,1.1,-c,0.257,0.257,17.9,17.9
DW-S04-EA03,r,1.1,1.1,-c,0.101,0.101,,
DW-S04-EA04,f,1.1,1.1,-c,0.220,0.220,20.0,20.0
DW-S04-EA05,f,1.1,1.1,-c,0.249,0.249,26.6,26.6
DW-S04-EA05,r,1.1,1.1,-c,0.125,0.125,,
DW-S04-EA09,r,1.1,1.1,-c,0.227,0.227,,
DW-S04-EA18,r,1.1,1.1,cons,0.213,,,
