Code,Label,Canonical,Valid,Geometry,Plane,Metric,Element,Body,Letter,Also,Body2,Status,Dims,N_Vertices,Area_Proj_m2,Width_m,Height_m,Area_Real_m2,Obliquity_deg,Len3D_m,Len_Vert_m,Len_Horiz_m,Chord_m,Metric_Value_m,QC_Flags,Suggestion
DW-S01-EA01,f-port-1.1,f-port-1.1,si,polygon,f,,port,1.1,,,,cons,3D,6,0.347,0.609,0.631,0.354,11.2,,,,,,,
DW-S01-EA01,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,31,1.115,1.318,2.027,1.228,24.7,,,,,,,
DW-S01-EA01,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,26,2.449,1.900,1.426,2.531,14.6,,,,,,,
DW-S01-EA01,f-crown-1.1-c,f-crown-1.1-c,si,polygon,f,,crown,1.1,,,,-c,3D,29,0.731,2.078,0.549,0.848,30.5,,,,,,,
DW-S01-EA01,t-plat-1.1,t-plat-1.1,si,polygon,t,,plat,1.1,,,,cons,3D,26,0.765,1.405,0.830,0.768,5.7,,,,,,,
DW-S01-EA01,f-ll-bra-1.1a,f-ll-bra-1.1a,si,line,f,ll,bra,1.1,a,,,cons,3D,2,,,,,,0.609,0.178,0.583,0.609,0.609,,
DW-S01-EA01,f-ll-bra-1.1b,f-ll-bra-1.1b,si,line,f,ll,bra,1.1,b,,,cons,3D,2,,,,,,0.764,0.078,0.760,0.764,0.764,,
DW-S01-EA01,t-ll-tbeam-1.1,t-ll-tbeam-1.1,si,line,t,ll,tbeam,1.1,,,,cons,3D,2,,,,,,2.187,0.235,2.174,2.187,2.187,,
DW-S01-EA01,f-dd-wall-1.1,f-dd-wall-1.1,si,line,f,dd,wall,1.1,,,,cons,3D,2,,,,,,0.212,0.023,0.211,0.212,0.212,,
DW-S01-EA01,t-int-1.1,t-int-1.1,si,polygon,t,,int,1.1,,,,cons,3D,33,2.671,1.852,2.382,2.708,9.5,,,,,,,
DW-S01-EA01,t-eave-1.1,t-eave-1.1,si,polygon,t,,eave,1.1,,,,cons,3D,24,0.521,1.734,0.796,0.525,7.1,,,,,,,
DW-S01-EA01,f-ll-ebeam,f-ll-ebeam,si,line,f,ll,ebeam,,,,,cons,3D,2,,,,,,1.379,0.012,1.379,1.379,1.379,,
DW-S01-EA02,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,8,0.313,0.539,0.654,0.335,20.9,,,,,,,
DW-S01-EA02,f-port-1.2-c,f-port-1.2-c,si,polygon,f,,port,1.2,,,,-c,3D,5,0.270,0.495,0.637,0.285,18.7,,,,,,,
DW-S01-EA02,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,34,0.923,2.367,0.544,0.985,20.4,,,,,,,
DW-S01-EA02,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,38,3.240,2.682,1.474,3.397,17.5,,,,,,,
DW-S01-EA02,f-1.2-c,f-1.2-c,si,polygon,f,,,1.2,,,,-c,3D,48,1.888,2.384,1.406,1.918,10.1,,,,,,,
DW-S01-EA02,t-corn-0.1-1.1,t-corn-0.1-1.1,si,polygon,t,,corn,0.1,,,1.1,cons,3D,37,0.151,2.090,0.235,0.188,36.2,,,,,,,
DW-S01-EA02,t-corn-1.1-1.2-c,t-corn-1.1-1.2-c,si,polygon,t,,corn,1.1,,,1.2,-c,3D,29,0.327,2.385,0.264,0.344,18.3,,,,,,,
DW-S01-EA02,r-port-1.1-c,r-port-1.1-c,si,polygon,r,,port,1.1,,,,-c,3D,13,0.154,0.397,0.688,0.155,6.9,,,,,,,
DW-S01-EA02,t-0.1-c,t-0.1-c,si,polygon,t,,,0.1,,,,-c,3D,36,5.821,2.733,3.322,6.334,23.2,,,,,,,
DW-S01-EA02,r-port-1.2-c,r-port-1.2-c,si,polygon,r,,port,1.2,,,,-c,3D,5,0.114,0.405,0.620,0.114,3.9,,,,,,,
DW-S01-EA04,f-1.1-r,f-1.1-r,si,polygon,f,,,1.1,,,,-r,3D,8,2.427,2.191,1.270,2.468,10.4,,,,,,,
DW-S01-EA04,r-1.1-c,r-1.1-c,si,polygon,r,,,1.1,,,,-c,3D,12,1.243,1.229,1.211,1.487,33.3,,,,,,,
DW-S01-EA04,l-1.1-c,l-1.1-c,si,polygon,l,,,1.1,,,,-c,3D,15,0.811,1.424,1.211,0.892,24.6,,,,,,,
DW-S01-EA04,l-1.2,l-1.2,si,polygon,l,,,1.2,,,,cons,3D,12,0.677,1.415,0.731,0.692,12.1,,,,,,,
DW-S01-EA04,r-1.2,r-1.2,si,polygon,r,,,1.2,,,,cons,3D,16,0.285,1.089,0.670,0.369,39.4,,,,,,,
DW-S01-EA04,f-1.2,f-1.2,si,polygon,f,,,1.2,,,,cons,3D,14,0.298,1.132,0.749,0.349,31.5,,,,,,,
DW-S01-EA04,t-int-0.1-c,t-int-0.1-c,si,polygon,t,,int,0.1,,,,-c,3D,33,2.901,2.333,1.660,2.937,9.0,,,,,,,
DW-S01-EA04,f-1.1a,f-1.1a,si,polygon,f,,,1.1,a,,,cons,3D,12,0.835,0.958,1.198,0.864,15.0,,,,,,,
DW-S01-EA04,f-1.1b,f-1.1b,si,polygon,f,,,1.1,b,,,cons,3D,12,0.540,0.638,1.114,0.629,30.9,,,,,,,
DW-S01-EA06,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,20,0.716,1.376,0.700,0.724,8.7,,,,,,,
