Grup,Code,Camp,Context,Proposta,Nota
4-BIOARQ,DW-S01-EA61,Anatomical_Connection,Human_Remains=NULL,,depen de Human_Remains: ompli primer eixe
4-BIOARQ,DW-S01-EA61,Mummification,Human_Remains=NULL,,depen de Human_Remains: ompli primer eixe
4-BIOARQ,DW-S01-EA61,Funerary_Bundles,Human_Remains=NULL,,depen de Human_Remains: ompli primer eixe
4-BIOARQ,DW-S01-EA61,Dispersed_Remains,Human_Remains=NULL,,depen de Human_Remains: ompli primer eixe
4-BIOARQ,DW-S01-EA61,Flexed_Position,Human_Remains=NULL,,depen de Human_Remains: ompli primer eixe
4-BIOARQ,DW-S01-EA61,Bone_Burning,Human_Remains=NULL,,depen de Human_Remains: ompli primer eixe
3-MATERIALS,DW-S01-EA61,Mat_Textiles,,0,confirma 0 (cap material observat) o canvia
3-MATERIALS,DW-S01-EA61,Mat_Wood,,0,confirma 0 (cap material observat) o canvia
3-MATERIALS,DW-S01-EA61,Mat_VegFiber,,0,confirma 0 (cap material observat) o canvia
3-MATERIALS,DW-S01-EA61,Mat_Ceramics,,0,confirma 0 (cap material observat) o canvia
3-MATERIALS,DW-S01-EA61,Mat_Fauna,,0,confirma 0 (cap material observat) o canvia
3-MATERIALS,DW-S01-EA61,Mat_DeerAntler,,0,confirma 0 (cap material observat) o canvia
3-MATERIALS,DW-S01-EA61,Mat_Other,,0,confirma 0 (cap material observat) o canvia
6-MASONERIA,DW-S01-EA61,Mortar_Present,,,0/1/9
6-MASONERIA,DW-S01-EA61,Chinking_Stones,,,0/1/9
7-ELEMENT,DW-S01-EA61,Recessed_Frame,gate -=-,,0/1/2/3/9
7-ELEMENT,DW-S01-EA61,Human_Remains,gate -=-,,0/1/2/3/9
2-NATURAL,DW-S01-EA76,Anatomical_Connection,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mummification,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Funerary_Bundles,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Dispersed_Remains,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Flexed_Position,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Bone_Burning,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_Textiles,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_Wood,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_VegFiber,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_Ceramics,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_Fauna,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_DeerAntler,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mat_Other,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Looting,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Fire_Damage,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Animal_Activity,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Modern_Access,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Mortar_Present,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Plaster_Present,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Pigment_Present,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Dec_Present,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,RockArt_Present,context natural,0,canvia a 9 si el camp no es avaluable
2-NATURAL,DW-S01-EA76,Chinking_Stones,context natural,0,canvia a 9 si el camp no es avaluable
