Grup,Code,Camp,Nom del camp,Context,Proposta,Instruccions
0-LLEGENDA,,,,,,"Este full tanca tots els buits de la base d'una sola tirada. Ompli NOMES la columna Proposta, de dalt a baix per grups (usa el filtre d'Excel sobre la columna Grup)."
0-LLEGENDA,,,,,,"Grups 1: NO TOQUES RES, son automatics. Grups 2 i 3: ja porten proposta; nomes canvia les excepcions. Grups 4-8: ompli amb la clau que porta cada fila. Grup 9: decisions puntuals, cada fila explica les opcions."
0-LLEGENDA,,,,,,Clau: 0 = avaluat i ABSENT | 1 = PRESENT complet | 2 = PRESENT parcial | 3 = PERDUT pero atestat (en queda evidencia) | 9 = NO OBSERVABLE -- aquesta clau de cinc valors s'aplica als elements arquitectonics A-X.
0-LLEGENDA,,,,,,"Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar -- aquesta clau de tres valors s'aplica a materials, danys, maconeria i bioarqueologia."
0-LLEGENDA,,,,,,"Quan acabes, guarda i puja'm el CSV: jo genere l'script que aplica cada valor verificant abans que el camp segueix buit (mai trepitja res que hages escrit despres al formulari)."
4-BIOARQ,DW-S01-EA61,Anatomical_Connection,Connexio anatomica,Restes humanes = ENCARA BUIT,,"PRIMER ompli la fila 'Restes humanes' d'esta mateixa estructura (grup 7). Si alli poses 0, deixa esta cel.la buida i l'script hi posara el 0 de farciment; si poses 1, ompli aci amb: 0 = este fenomen no s'observa | 1 = s'observa | 9 = no avaluable."
4-BIOARQ,DW-S01-EA61,Mummification,Momificacio,Restes humanes = ENCARA BUIT,,"PRIMER ompli la fila 'Restes humanes' d'esta mateixa estructura (grup 7). Si alli poses 0, deixa esta cel.la buida i l'script hi posara el 0 de farciment; si poses 1, ompli aci amb: 0 = este fenomen no s'observa | 1 = s'observa | 9 = no avaluable."
4-BIOARQ,DW-S01-EA61,Funerary_Bundles,Fardells funeraris,Restes humanes = ENCARA BUIT,,"PRIMER ompli la fila 'Restes humanes' d'esta mateixa estructura (grup 7). Si alli poses 0, deixa esta cel.la buida i l'script hi posara el 0 de farciment; si poses 1, ompli aci amb: 0 = este fenomen no s'observa | 1 = s'observa | 9 = no avaluable."
4-BIOARQ,DW-S01-EA61,Dispersed_Remains,Restes disperses,Restes humanes = ENCARA BUIT,,"PRIMER ompli la fila 'Restes humanes' d'esta mateixa estructura (grup 7). Si alli poses 0, deixa esta cel.la buida i l'script hi posara el 0 de farciment; si poses 1, ompli aci amb: 0 = este fenomen no s'observa | 1 = s'observa | 9 = no avaluable."
4-BIOARQ,DW-S01-EA61,Flexed_Position,Posicio flexionada,Restes humanes = ENCARA BUIT,,"PRIMER ompli la fila 'Restes humanes' d'esta mateixa estructura (grup 7). Si alli poses 0, deixa esta cel.la buida i l'script hi posara el 0 de farciment; si poses 1, ompli aci amb: 0 = este fenomen no s'observa | 1 = s'observa | 9 = no avaluable."
4-BIOARQ,DW-S01-EA61,Bone_Burning,Os cremat,Restes humanes = ENCARA BUIT,,"PRIMER ompli la fila 'Restes humanes' d'esta mateixa estructura (grup 7). Si alli poses 0, deixa esta cel.la buida i l'script hi posara el 0 de farciment; si poses 1, ompli aci amb: 0 = este fenomen no s'observa | 1 = s'observa | 9 = no avaluable."
3-MATERIALS,DW-S01-EA61,Mat_Textiles,Materials: textils,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
3-MATERIALS,DW-S01-EA61,Mat_Wood,Materials: fusta,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
3-MATERIALS,DW-S01-EA61,Mat_VegFiber,Materials: fibra vegetal,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
3-MATERIALS,DW-S01-EA61,Mat_Ceramics,Materials: ceramica,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
3-MATERIALS,DW-S01-EA61,Mat_Fauna,Materials: fauna,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
3-MATERIALS,DW-S01-EA61,Mat_DeerAntler,Materials: banya de cervol,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
3-MATERIALS,DW-S01-EA61,Mat_Other,Materials: altres,,0,"Prefigurat a 0 = cap material d'este tipus observat a l'estructura. DEIXA'L si es aixi; canvia a 1 si si que se'n va observar, o a 9 si no es va poder avaluar."
6-MACONERIA,DW-S01-EA61,Mortar_Present,Morter present,,,S'observa este tret a la fabrica de l'estructura? Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
6-MACONERIA,DW-S01-EA61,Chinking_Stones,Falques entre carreus,,,S'observa este tret a la fabrica de l'estructura? Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
7-ELEMENT,DW-S01-EA61,Recessed_Frame,Marc rebaixat,element sense sistema (sempre avaluable),,Avaluacio directa de l'element sobre model/fotos. Clau: 0 = avaluat i ABSENT | 1 = PRESENT complet | 2 = PRESENT parcial | 3 = PERDUT pero atestat (en queda evidencia) | 9 = NO OBSERVABLE
7-ELEMENT,DW-S01-EA61,Human_Remains,Restes humanes,element sense sistema (sempre avaluable),,Avaluacio directa de l'element sobre model/fotos. Clau: 0 = avaluat i ABSENT | 1 = PRESENT complet | 2 = PRESENT parcial | 3 = PERDUT pero atestat (en queda evidencia) | 9 = NO OBSERVABLE
2-NATURAL,DW-S01-EA76,Anatomical_Connection,Connexio anatomica,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mummification,Momificacio,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Funerary_Bundles,Fardells funeraris,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Dispersed_Remains,Restes disperses,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Flexed_Position,Posicio flexionada,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Bone_Burning,Os cremat,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_Textiles,Materials: textils,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_Wood,Materials: fusta,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_VegFiber,Materials: fibra vegetal,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_Ceramics,Materials: ceramica,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_Fauna,Materials: fauna,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_DeerAntler,Materials: banya de cervol,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mat_Other,Materials: altres,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Looting,Espoli,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Fire_Damage,Dany per foc,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Animal_Activity,Activitat animal,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Modern_Access,Acces modern,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Mortar_Present,Morter present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Plaster_Present,Revestiment present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
2-NATURAL,DW-S01-EA76,Pigment_Present,Pigment present,context natural (cova/ninxol/diedre),0,Prefigurat a 0 = 'ho vaig poder mirar i no n'hi ha'. DEIXA'L si es aixi. CANVIA'L A 9 si este aspecte no es podia observar (p.ex. interior inaccessible). Clau: 0 = no n'hi ha (avaluat) | 1 = si que n'hi ha | 9 = no es va poder avaluar
