Code;Field;Value_v11;Rule
"DW-S01-EA01";"ID_Support";"Fissure/Crack";"C: value split into Vertical cleft / Bedding-plane recess"
"DW-S01-EA01";"Support_Modified";"9";"D2: 9 inherited from the v10 default, not a judgement"
"DW-S01-EA01";"Base_Level";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Decorative_Socle";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Timber_Brackets";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Transverse_Beams";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Corbelled_Courses";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Structural_Pilasters";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Facade_Flank";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Relief_Frieze";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Sill";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Jambs";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Lintel";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Upper_Crown";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Return_Wall";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Eave_Beam";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Eave_Surface";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Chamber_Roof";"1";"D1: v11 present vs v15 present COMPLETE - resolve to 1, 2 or 3"
"DW-S01-EA01";"Corbelled_Platform";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA01";"Access_Opening";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
"DW-S01-EA01";"Eave";"1";"D4: field retired in v15, the 0s and 9s were already converted into Sys_*"
