Parent_Code;Element_Code;Evidence_Name;Evidence_Scope;Position_Code;Notes
"DW-S01-EA09";"";"Corbels into void";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S01-EA10";"";"Pigment on bedrock";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S01-EA11";"";"Pigment on bedrock";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S01-EA12";"";"Truncated walls";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S01-EA21";"";"Corbels into void";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S01-EA40a";"";"Truncated walls";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S02-EA01";"";"Truncated walls";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S04-EA01";"";"Detached fragment in situ";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S04-EA12a";"";"Truncated walls";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S04-EA12b";"";"Corbels into void";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S04-EA15";"";"Truncated walls";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
"DW-S04-EA18";"";"Truncated walls";"Body";"";"Proposta automatica des de Lost_Body_Evidence v11. Completar element."
