Parent_Code;Body_Code;Dec_Type_Name;Body_No;Color;Color_Secondary;Substrate;Notes
"DW-S01-EA02";"";"RA Anthropomorphic";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA02";"";"RA Zoomorphic";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA06";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA07b";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA09";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA11";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA12";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA15";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA17";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA36";"";"RA Zoomorphic";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA39";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S01-EA40a";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S03-EA01";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S04-EA01";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
"DW-S04-EA04";"";"RA Abstract";;"";"";"Bedrock";"Proposta automatica des dels booleans RA_* v11. Completar posicio."
