Code;Sector_Name;Typology_Name;Support_Name;Support_Secondary_Name;Parent_Code;Group_Code;Arch_Status_Name;Material_Status_Name;Cultural_Materials_Present;Coord_Method_Name;Campaign_Code;Doc_Basis;Phase_Evidence;Pigment_Color;Plaster_Color;Pigment_Extent;Opening_Width_m;Opening_Height_m;Support_Width_m;Support_Depth_m;Dec_Present;RockArt_Present;N_Basal_Bodies;N_Chamber_Bodies;N_Built_Walls;Floor_Plan;Length_m;Width_m;Height_m;Height_Above_Base_m;Dim_Method;Masonry_Quality;Masonry_Type;Mortar_Type;Mortar_Notes;Timber_Bracket_Count;Timber_Bracket_Role;Platform_Surface_Material;Interbody_Cornice_Material;Lintel_Material;Chamber_Roof_Type;Rear_Closure_Type;Plaster_Extent;Pigment_Substrate;Facade_Orientation;Visibility_Valley;Sys_Base;Sys_Platform;Sys_Portal;Sys_Eave;Sys_Chamber;Platform_Function;MNI;C14;ChaXR_Documented;Chrono_Start_Cent;Chrono_End_Cent;Construction_Phases;Coord_Lat_WGS84;Coord_Lon_WGS84;Coord_E_UTM;Coord_N_UTM;Altitude_masl;Coord_Precision_m;URL_Pano;URL_Pano_2;URL_Giga;URL_3D;Facade_Observability;Interior_Observability;Notes;Support_Modified;Mortar_Present;Chinking_Stones;Plaster_Present;Pigment_Present;Recessed_Frame;Looting;Fire_Damage;Animal_Activity;Modern_Access;Human_Remains;Anatomical_Connection;Mummification;Funerary_Bundles;Dispersed_Remains;Flexed_Position;Bone_Burning;Mat_Textiles;Mat_Wood;Mat_VegFiber;Mat_Ceramics;Mat_Fauna;Mat_DeerAntler;Mat_Other;Embedded_Base_Beams;Base_Level;Decorative_Socle;Tie_Walls;Timber_Brackets;Transverse_Beams;Corbelled_Courses;Interbody_Cornice;Corner_Quoins;Structural_Pilasters;Facade_Flank;Relief_Frieze;Sill;Jambs;Lintel;Upper_Crown;Return_Wall;Eave_Beam;Eave_Surface;Chamber_Roof;ID_v11;Embedded_Base_Beams_v11;Base_Level_v11;Decorative_Socle_v11;Tie_Walls_v11;Timber_Brackets_v11;Transverse_Beams_v11;Corbelled_Courses_v11;Interbody_Cornice_v11;Corner_Quoins_v11;Structural_Pilasters_v11;Facade_Flank_v11;Relief_Frieze_v11;Sill_v11;Jambs_v11;Lintel_v11;Upper_Crown_v11;Return_Wall_v11;Eave_Beam_v11;Eave_Surface_v11;Chamber_Roof_v11;Corbelled_Platform_v11;Access_Opening_v11;Eave_v11;Rear_Wall_v11;Doc_Basis_v11;Lost_Body_Evidence_v11
"DW-S01-EA01";"DW - Sector 1";"EA-CAM Funerary Chamber";"";"Medium cavity (1-10m2)";"";"";"Good";"Fair";1;"";"";"Direct access";"ND";"Both";"";"Whole facade";;;;;1;0;1;1;1;"Irregular";;;;;;"Moderate";"Well-coursed";"Mud with organics";;2;"Platform support";"Stone";;"Wood";"Natural bedrock";"Built masonry";;"Masonry stone";;"High";;;;;;;;0;0;;;1;;;;;;;;;;;"Complete";"Complete";;;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;;;;;;;;0;;;0;;;;0;0;;;;;;;;;;;;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;"Direct access";"None"
"DW-S01-EA02";"DW - Sector 1";"EA-CAM Funerary Chamber";"Large cavity (>10m2)";"";"";"";"Good";"Poor";1;"";"";"Direct access";"ND";"White";"";"Traces";;;;;1;1;1;2;1;"Irregular";;;;;;"Moderate";"Well-coursed";"ND";;;;;"Stone slabs";"Stone";"Natural bedrock";;"Traces only";"Plaster";;"Low";;"Absent";;"Absent";;;5;0;0;;;1;;;;;;;;;;;"Complete";"Complete";;;;1;1;1;0;1;;;1;1;1;1;;1;;;1;1;;;;;;0;;0;0;0;0;;;0;0;;;;;;0;0;0;0;;2;0;1;0;0;0;0;;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;"Direct access";"None"
"DW-S01-EA06";"DW - Sector 1";"EA-CAM Funerary Chamber";"";"Medium cavity (1-10m2)";"";"";"Good";"Poor";1;"";"";"";"ND";"Red";"";"Traces";;;;;;1;1;2;1;"Sub-rectangular";;;;;;"Moderate";"Well-coursed";"Mud with organics";"Ben preservat a l'intradós, apenes evidències a l'extradós";3;"Platform support";"ND";"Stone slabs";"Wood";"Built timber and slabs";"Built masonry";;"Masonry stone";;"High";;"Not observable";;"Absent";;;6;0;0;;;1;;;;;;;;;;;"Complete";"Complete";;;1;1;;1;1;;;;;1;1;1;;1;1;;1;1;1;;;;;0;;0;0;;;0;;0;;;0;;0;;;;0;0;;3;0;1;0;0;1;9;0;1;0;1;1;0;1;0;1;1;;0;0;1;9;1;0;0;"Close-range photogrammetry";"ND"
"DW-S01-EA07a";"DW - Sector 1";"EA-PLA-R Ledge Platform";"Narrow natural ledge (<2m)";"";"";"";"Fair";"";0;"";"";"";"";"Red";"ND";"Traces";;;;;1;0;1;;0;"Trapezoidal";;;;;;"Good";"Well-coursed";"ND";;1;"Isolated";;;;;;"ND";"Masonry stone";;"High";;"Absent";"Absent";"Absent";;;;0;0;;;2;;;;;;;;;;;"Complete";"Partial";;;;1;;1;0;;;1;;;;;;;;;;;;;;;;0;;;0;;0;;;0;0;0;0;0;0;;0;0;0;0;0;5;0;1;1;0;1;0;1;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;"Close-range photogrammetry";"ND"
"DW-S01-EA07b";"DW - Sector 1";"EA-PLA-R Ledge Platform";"Narrow natural ledge (<2m)";"";"";"";"Fair";"";0;"";"";"";"";"Red";"";"Traces";;;;;1;1;2;;0;"Rectangular";;;;;;"Poor";"Irregular-coursed";"ND";"visible sota corniseta (pano 360º)";1;"Both";"Stone";"Stone slabs";;;;;"Masonry stone";;"High";;"Not observable";"Absent";"Absent";;;;0;0;;;2;;;;;;;;;;;"Complete";"Partial";;;1;1;;1;0;;;1;;;;;;;;;;;;;;;;0;;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;4;0;1;0;0;1;1;1;1;0;0;0;0;0;0;;0;0;0;0;0;9;0;0;0;"Close-range photogrammetry";"ND"
"DW-S01-EA09";"DW - Sector 1";"CAV Cave/Cavern";"Medium cavity (1-10m2)";"";"";"";"Pre-collapse";"";;"";"";"";"";"";"";"";;;;;;1;1;0;0;"ND";;;;;;;;;;2;"Platform support";"Stone";;;"Natural bedrock";;;;;"High";;"Not observable";;;;;;0;0;;;;;;;;;;;;;;"Partial";"None";;;;;0;0;;;;1;;;;;;;;;;;;;;;;;;0;0;;0;0;;;;;;;;0;;;;;;6;1;1;0;0;1;0;0;;;;;;;;0;;;;;;9;;;;"Ground photography";"Corbels into void"
"DW-S01-EA10";"DW - Sector 1";"MEN Isolated Bracket";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"";;"";"";"";"";"";"";"";;;;;;;1;0;0;"Sub-rectangular";;;;;;"Poor";;;;2;"Isolated";;;;"ND";;;;;"High";;"Absent";;;;;;0;0;;;;;;;;;;;;;;"Partial";"Partial";;;;;;;;;;1;;;;;;;;;;;;;;;;0;;0;0;;0;0;;;;;;;;0;;;;;;7;0;1;0;0;1;0;0;;;;;;;;0;;;;;;0;;;;"Ground photography";"Pigment on bedrock"
"DW-S01-EA11";"DW - Sector 1";"Not yet classified";"Narrow natural ledge (<2m)";"";"";"";"Collapsed";"";0;"";"";"Direct access";"";"Red";"";"Traces";;;;;;;0;0;0;"ND";;;;;;;;;;;;;;;;;;"Bedrock";;;;;;;;;;0;0;;;;;;;;;;;;;;"Complete";"Complete";;;;;;1;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;9;;;;;;;;;;;;;;;0;;;;;;;;;;"Direct access";"Pigment on bedrock"
"DW-S01-EA12";"DW - Sector 1";"EA-MAU Mausoleum/Chullpa";"Narrow natural ledge (<2m)";"";"";"";"Pre-collapse";"ND";;"";"";"";"";"Red";"";"Architectural elements";;;;;1;1;1;2;2;"Rectangular";;;;;;"Good";"Irregular-coursed";"ND";;;;;"Stone slabs";;;"Natural bedrock";;"Mixed";;"Medium";;;"Not observable";"Not observable";;;;0;0;;;;;;;;;;;;;;"Complete";"Partial";;;;1;;1;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;;;;;;;0;;0;;;;;;10;0;1;0;0;0;0;;1;1;1;;1;0;9;0;9;;9;9;9;;9;9;9;"Close-range photogrammetry";"Truncated walls"
"DW-S01-EA15";"DW - Sector 1";"EA-CAM Funerary Chamber";"Medium cavity (1-10m2)";"";"";"";"Pre-collapse";"Poor";1;"";"";"Direct access";"";"";"";"";;;;;1;1;1;1;1;"Irregular";;;;;;"Good";"Well-coursed";"Mud with organics";;1;"Isolated";"ND";"Stone slabs";"Wood";"Natural bedrock";"ND";;;;"Medium";;"Not observable";;"Absent";;;1;0;0;;;;;;;;;;;;;;"Complete";"Complete";;1;1;1;;;0;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;;0;0;;0;0;0;;0;0;0;0;0;11;0;1;0;0;1;0;9;1;0;0;1;0;0;0;1;0;0;0;0;0;9;1;0;0;"Direct access";""
